PDF_EBNF_Nonterminal	ANTLR4_Rule	ISO C Rule
--------------------	-----------	----------
	compilationUnit	
token		6.4.1
preprocessing-token		6.4.1
keyword		6.4.2
identifier	Identifier	6.4.3.1
identifier-start	fragment IdentifierNondigit	6.4.3.1
identifier-continue		6.4.3.1
nondigit	fragment Nondigit	6.4.3.1
digit	fragment Digit	6.4.3.1
universal-character-name	fragment UniversalCharacterName	6.4.4
hex-quad	fragment HexQuad	6.4.4
constant	constant	6.4.5.1
integer-constant	fragment IntegerConstant	6.4.5.2
decimal-constant	fragment DecimalConstant	6.4.5.2
octal-constant	fragment OctalConstant	6.4.5.2
hexadecimal-constant	fragment HexadecimalConstant	6.4.5.2
binary-constant	fragment BinaryConstant	6.4.5.2
hexadecimal-prefix	fragment HexadecimalPrefix	6.4.5.2
binary-prefix		6.4.5.2
nonzero-digit	fragment NonzeroDigit	6.4.5.2
octal-digit	fragment OctalDigit	6.4.5.2
hexadecimal-digit-sequence		6.4.5.2
hexadecimal-digit	fragment HexadecimalDigit	6.4.5.2
binary-digit		6.4.5.2
integer-suffix	fragment IntegerSuffix	6.4.5.2
bit-precise-int-suffix		6.4.5.2
unsigned-suffix	fragment UnsignedSuffix	6.4.5.2
long-suffix	fragment LongSuffix	6.4.5.2
long-long-suffix	fragment LongLongSuffix	6.4.5.2
floating-constant	FloatingConstant	6.4.5.3
decimal-floating-constant	fragment DecimalFloatingConstant	6.4.5.3
hexadecimal-floating-constant	fragment HexadecimalFloatingConstant	6.4.5.3
fractional-constant	fragment FractionalConstant	6.4.5.3
exponent-part	fragment ExponentPart	6.4.5.3
sign	fragment Sign	6.4.5.3
digit-sequence	DigitSequence	6.4.5.3
hexadecimal-fractional-constant	fragment HexadecimalFractionalConstant	6.4.5.3
binary-exponent-part	fragment BinaryExponentPart	6.4.5.3
floating-suffix	fragment FloatingSuffix	6.4.5.3
enumeration-constant	enumerationConstant	6.4.5.4
character-constant	CharacterConstant	6.4.5.5
encoding-prefix	fragment EncodingPrefix	6.4.5.5
c-char-sequence	fragment CCharSequence	6.4.5.5
c-char	fragment CChar	6.4.5.5
escape-sequence	fragment EscapeSequence	6.4.5.5
simple-escape-sequence	fragment SimpleEscapeSequence	6.4.5.5
octal-escape-sequence	fragment OctalEscapeSequence	6.4.5.5
hexadecimal-escape-sequence	fragment HexadecimalEscapeSequence	6.4.5.5
predefined-constant	predefinedConstant	6.4.5.6
string-literal	StringLiteral	6.4.6
s-char-sequence	fragment SCharSequence	6.4.6
s-char	fragment SChar	6.4.6
punctuator		6.4.7
header-name		6.4.8
h-char-sequence		6.4.8
h-char		6.4.8
q-char-sequence		6.4.8
q-char		6.4.8
pp-number		6.4.9
primary-expression	primaryExpression	6.5.2
	exprList
generic-selection	genericSelection	6.5.2.1
generic-assoc-list	genericAssocList	6.5.2.1
generic-association	genericAssociation	6.5.2.1
postfix-expression	postfixExpression	6.5.3.1
argument-expression-list	argumentExpressionList	6.5.3.1
compound-literal		6.5.3.1
storage-class-specifiers		6.5.3.6
unary-expression	unaryExpression	6.5.4.1
unary-operator		6.5.4.1
cast-expression	castExpression	6.5.5
multiplicative-expression	multiplicativeExpression	6.5.6
additive-expression	additiveExpression	6.5.7
shift-expression	shiftExpression	6.5.8
relational-expression	relationalExpression	6.5.9
equality-expression	equalityExpression	6.5.10
AND-expression	andExpression	6.5.11
exclusive-OR-expression	exclusiveOrExpression	6.5.12
inclusive-OR-expression	inclusiveOrExpression	6.5.13
logical-AND-expression	logicalAndExpression	6.5.14
logical-OR-expression	logicalOrExpression	6.5.15
conditional-expression	conditionalExpression	6.5.16
assignment-expression	assignmentExpression	6.5.17.1
assignment-operator		6.5.17.1
expression	expression	6.5.18
constant-expression	constantExpression	6.6
declaration	declaration	6.7.1
declaration-specifiers	declarationSpecifiers	6.7.1
declaration-specifier	declarationSpecifier	6.7.1
init-declarator-list	initDeclaratorList	6.7.1
init-declarator	initDeclarator	6.7.1
attribute-declaration	attributeDeclaration	6.7.1
storage-class-specifier	storageClassSpecifier	6.7.2
type-specifier	typeSpecifier	6.7.3.1
struct-or-union-specifier	structOrUnionSpecifier	6.7.3.2
struct-or-union	structOrUnion	6.7.3.2
member-declaration-list	memberDeclarationList	6.7.3.2
member-declaration	memberDeclaration	6.7.3.2
specifier-qualifier-list	specifierQualifierList	6.7.3.2
type-specifier-qualifier	typeSpecifierQualifier	6.7.3.2
member-declarator-list	memberDeclaratorList	6.7.3.2
member-declarator		6.7.3.2
enum-specifier	enumSpecifier	6.7.3.3
enumerator-list	enumeratorList	6.7.3.3
enumerator	enumerator	6.7.3.3
enum-type-specifier	enumTypeSpecifier	6.7.3.3
atomic-type-specifier	atomicTypeSpecifier	6.7.3.5
typeof-specifier	typeofSpecifier	6.7.3.6
typeof-specifier-argument	typeofSpecifierArgument	6.7.3.6
type-qualifier	typeQualifier	6.7.4.1
function-specifier	functionSpecifier	6.7.5
alignment-specifier	alignmentSpecifier	6.7.6
declarator	declarator	6.7.7.1
direct-declarator	directDeclarator	6.7.7.1
array-declarator		6.7.7.1
function-declarator		6.7.7.1
pointer	pointer	6.7.7.1
type-qualifier-list	typeQualifierList	6.7.7.1
parameter-type-list	parameterTypeList	6.7.7.1
parameter-list	parameterList	6.7.7.1
parameter-declaration	parameterDeclaration	6.7.7.1
type-name	typeName	6.7.8
abstract-declarator	abstractDeclarator	6.7.8
direct-abstract-declarator	directAbstractDeclarator	6.7.8
array-abstract-declarator		6.7.8
function-abstract-declarator		6.7.8
typedef-name	typedefName	6.7.9
braced-initializer		6.7.11
initializer	initializer	6.7.11
initializer-list	initializerList	6.7.11
designation	designation	6.7.11
designator-list	designatorList	6.7.11
designator	designator	6.7.11
static_assert-declaration	staticAssertDeclaration	6.7.12
attribute-specifier-sequence	attributeSpecifierSequence	6.7.13.2
attribute-specifier	attributeSpecifier	6.7.13.2
attribute-list	attributeList	6.7.13.2
attribute	attribute	6.7.13.2
attribute-token	attributeToken	6.7.13.2
standard-attribute		6.7.13.2
